Date,Price,Open,High,Low,Volume,Chg%
2023-01-31,0.01223,0.01227,0.01227,0.01219,0,-0.30%
2023-01-30,0.01227,0.01227,0.01228,0.01224,0,0.00%
2023-01-29,0.01227,0.01227,0.01227,0.01227,0,0.00%
2023-01-27,0.01227,0.01228,0.01228,0.01225,0,-0.07%
2023-01-26,0.01228,0.01227,0.01229,0.01226,0,0.07%
2023-01-25,0.01227,0.01225,0.01227,0.01223,0,0.11%
2023-01-24,0.01225,0.01227,0.01228,0.01223,0,-0.14%
2023-01-23,0.01227,0.01235,0.01236,0.01227,0,-0.61%
2023-01-22,0.01235,0.01235,0.01235,0.01235,0,0.00%
2023-01-20,0.01235,0.01231,0.01235,0.0123,0,0.32%
2023-01-19,0.01231,0.01228,0.01231,0.01228,0,0.25%
2023-01-18,0.01228,0.01225,0.01232,0.01222,0,0.19%
2023-01-17,0.01225,0.01225,0.01226,0.01221,0,0.08%
2023-01-16,0.01225,0.0123,0.01232,0.01223,0,-0.47%
2023-01-15,0.0123,0.0123,0.0123,0.0123,0,0.00%
2023-01-13,0.0123,0.01233,0.01233,0.01227,0,-0.20%
2023-01-12,0.01233,0.01225,0.01233,0.01223,0,0.68%
2023-01-11,0.01225,0.01225,0.01227,0.01222,0,0.00%
2023-01-10,0.01225,0.01217,0.01225,0.01215,0,0.67%
2023-01-09,0.01217,0.01215,0.01218,0.01213,0,0.12%
2023-01-08,0.01215,0.01215,0.01215,0.01215,0,0.00%
2023-01-06,0.01215,0.01211,0.01215,0.01208,0,0.40%
2023-01-05,0.01211,0.0121,0.01213,0.01208,0,0.08%
2023-01-04,0.0121,0.01208,0.0121,0.01206,0,0.15%
2023-01-03,0.01208,0.01208,0.0121,0.01204,0,0.00%
2023-01-02,0.01208,0.01209,0.01211,0.01208,0,0.00%
2023-01-01,0.01209,0.01209,0.01209,0.01209,0,-0.07%
2022-12-30,0.01209,0.01208,0.01211,0.01207,0,0.12%
2022-12-29,0.01208,0.01208,0.01208,0.01206,0,0.00%
2022-12-28,0.01208,0.01207,0.01208,0.01206,0,0.00%
2022-12-27,0.01207,0.0121,0.0121,0.01206,0,-0.21%
2022-12-26,0.0121,0.01208,0.0121,0.01207,0,0.15%
2022-12-25,0.01208,0.01208,0.01208,0.01208,0,0.00%
2022-12-23,0.01208,0.01207,0.01208,0.01206,0,0.08%
2022-12-22,0.01207,0.01206,0.0121,0.01205,0,0.00%
2022-12-21,0.01206,0.01211,0.01211,0.01206,0,-0.34%
2022-12-20,0.01211,0.01211,0.01211,0.01207,0,0.00%
2022-12-19,0.01211,0.01209,0.01211,0.01207,0,0.18%
2022-12-18,0.01209,0.01209,0.01209,0.01209,0,0.00%
2022-12-16,0.01209,0.01207,0.0121,0.01206,0,0.16%
2022-12-15,0.01207,0.01212,0.01213,0.01205,0,-0.42%
2022-12-14,0.01212,0.01214,0.01214,0.01209,0,-0.14%
2022-12-13,0.01214,0.0121,0.01214,0.01206,0,0.31%
2022-12-12,0.0121,0.01213,0.01213,0.01209,0,-0.29%
2022-12-11,0.01213,0.01213,0.01213,0.01213,0,0.00%
2022-12-09,0.01213,0.01215,0.01218,0.01212,0,-0.17%
2022-12-08,0.01215,0.01216,0.01216,0.01213,0,0.00%
2022-12-07,0.01216,0.01212,0.01217,0.01208,0,0.28%
2022-12-06,0.01212,0.01221,0.01221,0.0121,0,-0.70%
2022-12-05,0.01221,0.01228,0.01231,0.01221,0,-0.58%
2022-12-04,0.01228,0.01228,0.01228,0.01228,0,0.00%
2022-12-02,0.01228,0.01232,0.01233,0.01227,0,-0.36%
2022-12-01,0.01232,0.01229,0.01234,0.01229,0,0.27%
2022-11-30,0.01229,0.01225,0.0123,0.01225,0,0.28%
2022-11-29,0.01225,0.01225,0.01226,0.01223,0,0.06%
"Nov 28, 2022",0.01225,0.01224,0.01227,0.01222,0,0.06%
"Nov 27, 2022",0.01224,0.01224,0.01224,0.01224,0,0.00%
"Nov 25, 2022",0.01224,0.01225,0.01228,0.01223,0,-0.09%
"Nov 24, 2022",0.01225,0.01225,0.01225,0.01223,0,0.00%
"Nov 23, 2022",0.01225,0.01224,0.01225,0.01221,0,0.06%
"Nov 22, 2022",0.01224,0.01224,0.01226,0.01222,0,0.00%
"Nov 21, 2022",0.01224,0.01225,0.01226,0.01221,0,-0.10%
"Nov 20, 2022",0.01225,0.01225,0.01225,0.01225,0,0.00%
"Nov 18, 2022",0.01225,0.01227,0.01227,0.01223,0,-0.17%
"Nov 17, 2022",0.01227,0.01227,0.01228,0.01222,0,0.00%
"Nov 16, 2022",0.01227,0.01233,0.01233,0.01226,0,-0.50%
"Nov 15, 2022",0.01233,0.01235,0.01239,0.01228,0,-0.12%
"Nov 14, 2022",0.01235,0.01242,0.01242,0.0123,0,-0.60%
"Nov 13, 2022",0.01242,0.01242,0.01242,0.01242,0,0.00%
"Nov 11, 2022",0.01242,0.0124,0.01242,0.01235,0,0.18%
"Nov 10, 2022",0.0124,0.01229,0.0124,0.01221,0,0.82%
"Nov 09, 2022",0.01229,0.01229,0.01231,0.01225,0,0.06%
"Nov 08, 2022",0.01229,0.01222,0.01231,0.01219,0,0.58%
"Nov 07, 2022",0.01222,0.0122,0.01222,0.01215,0,0.16%
"Nov 06, 2022",0.0122,0.0122,0.0122,0.0122,0,0.00%
"Nov 04, 2022",0.0122,0.01209,0.0122,0.01209,0,0.89%
"Nov 03, 2022",0.01209,0.01209,0.01209,0.01205,0,0.00%
"Nov 02, 2022",0.01209,0.0121,0.0121,0.01207,0,-0.13%
"Nov 01, 2022",0.0121,0.01208,0.01212,0.01207,0,0.20%
"Oct 31, 2022",0.01208,0.01216,0.01216,0.01207,0,-0.63%
"Oct 30, 2022",0.01216,0.01216,0.01216,0.01216,0,0.00%
"Oct 28, 2022",0.01216,0.01214,0.01216,0.01212,0,0.16%
"Oct 27, 2022",0.01214,0.01221,0.01221,0.01211,0,-0.57%
"Oct 26, 2022",0.01221,0.01213,0.01221,0.01212,0,0.63%
"Oct 25, 2022",0.01213,0.01208,0.01213,0.01207,0,0.37%
"Oct 24, 2022",0.01208,0.01212,0.01212,0.01207,0,-0.25%
"Oct 23, 2022",0.01212,0.01212,0.01212,0.01212,0,0.00%
"Oct 21, 2022",0.01212,0.01207,0.01212,0.01203,0,0.34%
"Oct 20, 2022",0.01207,0.01205,0.01212,0.01201,0,0.23%
"Oct 19, 2022",0.01205,0.01215,0.01215,0.01203,0,-0.84%
"Oct 18, 2022",0.01215,0.01217,0.01219,0.01214,0,-0.14%
"Oct 17, 2022",0.01217,0.01213,0.01218,0.01213,0,0.26%
"Oct 16, 2022",0.01213,0.01214,0.01214,0.01213,0,-0.06%
"Oct 14, 2022",0.01214,0.01217,0.01218,0.01213,0,-0.22%
"Oct 13, 2022",0.01217,0.01217,0.01218,0.01209,0,0.00%
"Oct 12, 2022",0.01217,0.01215,0.01217,0.01214,0,0.09%
"Oct 11, 2022",0.01215,0.01213,0.01218,0.01212,0,0.18%
"Oct 10, 2022",0.01213,0.01207,0.01216,0.01207,0,0.50%
"Oct 09, 2022",0.01207,0.01207,0.01207,0.01207,0,0.00%
"Oct 07, 2022",0.01207,0.01214,0.01218,0.01207,0,-0.56%
"Oct 06, 2022",0.01214,0.01225,0.01227,0.01214,0,-0.90%
"Oct 05, 2022",0.01225,0.01227,0.0123,0.01224,0,-0.17%
"Oct 04, 2022",0.01227,0.01227,0.0123,0.01225,0,0.00%
"Oct 03, 2022",0.01227,0.01227,0.01227,0.01221,0,0.00%
"Oct 02, 2022",0.01227,0.01227,0.01227,0.01227,0,-0.05%
"Sep 30, 2022",0.01227,0.01227,0.01232,0.01224,0,0.00%
"Sep 29, 2022",0.01227,0.01228,0.01228,0.0122,0,-0.08%
"Sep 28, 2022",0.01228,0.01224,0.0123,0.01217,0,0.36%
"Sep 27, 2022",0.01224,0.01225,0.0123,0.01222,0,-0.15%
"Sep 26, 2022",0.01225,0.01231,0.01231,0.01224,0,-0.42%
"Sep 25, 2022",0.01231,0.01231,0.01231,0.01231,0,0.00%
"Sep 23, 2022",0.01231,0.01234,0.01238,0.01227,0,-0.22%
"Sep 22, 2022",0.01234,0.01249,0.01251,0.01231,0,-1.24%
"Sep 21, 2022",0.01249,0.01254,0.01254,0.01247,0,-0.41%
"Sep 20, 2022",0.01254,0.01255,0.01257,0.0125,0,0.00%
"Sep 19, 2022",0.01255,0.01255,0.01257,0.01251,0,0.00%
"Sep 18, 2022",0.01255,0.01255,0.01255,0.01255,0,0.00%
"Sep 16, 2022",0.01255,0.01252,0.0126,0.0125,0,0.19%
"Sep 15, 2022",0.01252,0.01259,0.01259,0.0125,0,-0.49%
"Sep 14, 2022",0.01259,0.01256,0.0126,0.01253,0,0.17%
"Sep 13, 2022",0.01256,0.0126,0.01265,0.01256,0,-0.26%
"Sep 12, 2022",0.0126,0.01255,0.01261,0.01253,0,0.34%
"Sep 11, 2022",0.01255,0.01255,0.01255,0.01255,0,0.00%
"Sep 09, 2022",0.01255,0.01255,0.01258,0.01251,0,0.05%
"Sep 08, 2022",0.01255,0.01256,0.01256,0.0125,0,-0.06%
"Sep 07, 2022",0.01256,0.01252,0.01257,0.01248,0,0.28%
"Sep 06, 2022",0.01252,0.01253,0.01254,0.0125,0,-0.10%
"Sep 05, 2022",0.01253,0.01254,0.01254,0.01249,0,-0.08%
"Sep 04, 2022",0.01254,0.01254,0.01255,0.01254,0,0.00%
"Sep 02, 2022",0.01254,0.01254,0.01256,0.01248,0,0.00%
"Sep 01, 2022",0.01254,0.01257,0.01261,0.01251,0,-0.22%
